Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,Prec@K_mean,Prec@K_std,Best_C
Credit Card Fraud,0.7523279836140532,0.0600071501744128,0.9793349201762258,0.0074747827945357845,0.7660033630650103,0.030154461730402895,0.754054054054054,0.023249527748763855,1.0
IEEE-CIS,0.4049266841611384,0.0037101193332887083,0.8633809436829354,0.0015303764586726515,0.4229903389567273,0.0034652693073806704,0.41846799696051795,0.0036960572522779147,10.0
PaySim,0.5606240890384597,0.011963524485300992,0.9897221445547751,0.001273726515178534,0.5646040932633882,0.008947999530077418,0.5290584415584416,0.011426080749849195,0.01
AIZBank,0.5245722084682438,0.0127736518627703,0.8921518186948635,0.005245621744223958,0.5490651535574729,0.011950772027921358,0.5323945988355288,0.01136874867877668,100.0
Elliptic (Bitcoin),0.9883511453546291,0.0016007430701369288,0.90341626177173,0.013163027573902013,0.9557996748109314,0.0042088479141152635,0.9473901316833254,0.0061786549973971375,1.0
Amazon Reviews,0.8836343067387874,0.018153423533506862,0.9743773351454305,0.008394327721648104,0.8544118686057974,0.015533141179568262,0.840650406504065,0.02217590519835096,0.1
Yelp Reviews,0.38847580379345503,0.009043822988684214,0.7652630584045758,0.006296762467516972,0.41190317503348933,0.005546121267811891,0.3968063872255489,0.009159915293879247,100.0
Click Fraud,0.04569441389745195,0.022788830359666203,0.8312579100863919,0.02043534326239201,0.05081186083005083,0.030834741847703635,0.058823529411764705,0.03221897397089213,0.01
Social Honeypot,0.9450763840986534,0.005234502199712666,0.9427274470185608,0.002398522660197063,0.9015155851770833,0.0034223808615802915,0.8912091209120913,0.0042920023383732665,100.0
Cresci-2017,0.9623948865620264,0.023722063279899647,0.9846410262640006,0.00674403213621091,0.9454462490578669,0.0054302296700423055,0.9422784810126583,0.004050632911392388,100.0
Midterm-2018,0.9987696909270047,0.00015140612603163322,0.9943371518452979,0.0006899755010959427,0.9920819277133097,0.0006231487913356006,0.9894455787655098,0.0008851266093045407,100.0
MGTAB,0.8549935047821335,0.02166654984094303,0.9448308352293451,0.005560664443614769,0.8104916509193272,0.00994182691145995,0.7975728155339805,0.011950032645719578,0.1
