Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,Prec@K_mean,Prec@K_std,Best_params
Credit Card Fraud,0.8405798618957357,0.030368839030826277,0.9628314055473595,0.011437051500704272,0.8285290978337336,0.027088615533322685,0.8108108108108109,0.03197880963837632,"{'max_depth': 30, 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt'}"
IEEE-CIS,0.6943116787085073,0.013175679921366569,0.9338207286258369,0.00803873715346984,0.6556091484796169,0.01146417455838984,0.6479314451071625,0.011926912850327957,"{'max_depth': None, 'min_samples_leaf': np.int64(1), 'max_features': 'log2'}"
PaySim,0.9088002089293621,0.013612024124266642,0.998419505299639,0.0007027239347793733,0.8586154167637694,0.00707913531148201,0.8410714285714285,0.012130871228746369,"{'max_depth': 20, 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt'}"
AIZBank,0.5686586252067746,0.010257916617799205,0.9072257591905997,0.004208910245551333,0.5794114528423913,0.009767692440977362,0.5520562478360719,0.009224749750767926,"{'max_depth': None, 'min_samples_leaf': np.int64(5), 'max_features': 'sqrt'}"
Elliptic (Bitcoin),0.999568737792085,0.00010640807789625955,0.9963789528144444,0.0007403013434575421,0.9941925825505427,0.001046430659894335,0.9935268919562112,0.0008176486578914971,"{'max_depth': 30, 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt'}"
Amazon Reviews,0.9085908652175794,0.023086016698634377,0.9816573869753078,0.007714692355300995,0.8557429450296041,0.02585566677089599,0.853658536585366,0.01781211569122491,"{'max_depth': None, 'min_samples_leaf': np.int64(10), 'max_features': None}"
Yelp Reviews,0.7681103228778702,0.013317738439459348,0.9259539475021444,0.0022258406098376675,0.6943354638920103,0.011934650886777065,0.6952095808383234,0.012313929592963803,"{'max_depth': 30, 'min_samples_leaf': np.int64(3), 'max_features': None}"
Click Fraud,0.3386778413378173,0.05805620818000293,0.9244853039438412,0.02365250938439578,0.3441053587559403,0.05864981464666329,0.3588235294117647,0.07759356446042893,"{'max_depth': 10, 'min_samples_leaf': np.int64(3), 'max_features': None}"
Social Honeypot,0.9881913373340876,0.0009922525429171846,0.9855871479264108,0.001308473421617584,0.9423403694801635,0.0025814623797659896,0.9422742274227422,0.0028311133782383357,"{'max_depth': 10, 'min_samples_leaf': np.int64(5), 'max_features': 'log2'}"
Cresci-2017,0.9994591091844047,0.0002830392859434829,0.9995495517383803,0.000252630039788551,0.9898693280701302,0.0031938948144907206,0.9908860759493671,0.003037974683544268,"{'max_depth': 20, 'min_samples_leaf': np.int64(1), 'max_features': 'log2'}"
Midterm-2018,0.9999719312286885,8.825156587630767e-06,0.9998512459606254,4.730737277088591e-05,0.9979420804790203,0.00021893976276301922,0.9979268101146538,0.00025129574367830363,"{'max_depth': 30, 'min_samples_leaf': np.int64(1), 'max_features': 'sqrt'}"
MGTAB,0.8817024986569685,0.006572173387053299,0.9660098650502803,0.002608930304413048,0.8581666052913022,0.007414802038063176,0.8393203883495145,0.012602674743443848,"{'max_depth': None, 'min_samples_leaf': np.int64(10), 'max_features': None}"
